Key (原文),使用情境,en,en-GB,zh-Hant,zh-Hans,ja,ko,de,fr,es,it,nl,pt-PT,el,hr,id,ms,th,vi
Tags,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Tags,Tags,標籤,标签,タグ,태그,Schlagwörter,Étiquettes,Etiquetas,Tag,Tags,Etiquetas,Ετικέτες,Oznake,Tag,Tag,แท็ก,Thẻ
Temp,"出現於：DiveAnalysisView.swift, DiveImportKitAdapter.swift, DiveLog.swift, DiveLogBackup.swift, 等共 14 個檔案（無額外註解，請對照原始碼判斷情境）",Temp,Temp,水溫,水温,水温,수온,Temp.,Temp.,Temp.,Temp.,Temp.,Temp.,Θερμ.,Temp.,Suhu,Suhu,อุณหภูมิน้ำ,Nhiệt độ
This action cannot be undone.,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,This action cannot be undone.,This action cannot be undone.,此操作無法復原。,此操作无法撤销。,この操作は取り消せません。,이 작업은 취소할 수 없습니다.,Diese Aktion kann nicht rückgängig gemacht werden.,Cette action ne peut pas être annulée.,Esta acción no se puede deshacer.,Questa azione non può essere annullata.,Deze actie kan niet ongedaan worden gemaakt.,Esta ação não pode ser desfeita.,Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.,Ova radnja se ne može poništiti.,Tindakan ini tidak dapat dibatalkan.,Tindakan ini tidak boleh dibatalkan.,การดำเนินการนี้ไม่สามารถย้อนกลับได้,Hành động này không thể hoàn tác.
Tide State,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Tide State,Tide State,潮汐狀態,潮汐状态,潮汐状態,조석 상태,Gezeitenstand,État de la marée,Estado de la marea,Stato della marea,Getijdentoestand,Estado da maré,Κατάσταση παλιρροίας,Stanje plime,Keadaan pasang surut,Keadaan pasang surut,สภาพน้ำขึ้นน้ำลง,Trạng thái thủy triều
Time,"Area under the line in the Dive Profile Chart.｜出現於：DiveAnalysisView.swift, DiveCalendarView.swift, DiveImportKitAdapter.swift, DiveImportKitAdapterTests.swift, 等共 23 個檔案",Time,Time,時間,时间,時刻,시간,Zeit,Heure,Hora,Ora,Tijd,Hora,Ώρα,Vrijeme,Waktu,Masa,เวลา,Thời gian
Tissue Loading,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Tissue Loading,Tissue Loading,組織負荷,组织负荷,組織負荷,조직 부하,Gewebebelastung,Charge Tissulaire,Carga Tisular,Carico Tissutale,Weefselbelasting,Carga Tecidual,Φόρτωση Ιστών,Opterećenje Tkiva,Beban Jaringan,Bebanan Tisu,ภาระเนื้อเยื่อ,Tải Trọng Mô
"Tissue nitrogen loading isn't available for trimix dives yet — this is a known limitation, not an error.",出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,"Tissue nitrogen loading isn't available for trimix dives yet — this is a known limitation, not an error.","Tissue nitrogen loading isn't available for trimix dives yet — this is a known limitation, not an error.",Trimix 混合氣體潛水暫不支援組織氮氣負荷計算 — 此為已知限制而非錯誤。,Trimix 混合气体潜水暂不支持组织氮气饱和度计算 — 此为已知限制而非错误。,Trimix（トリミックス）ダイビングの組織窒素量はまだ対応していません。これは既知の制限事項であり、エラーではありません。,트라이믹스(Trimix) 다이빙의 조직 질소 부하는 아직 지원되지 않습니다. 이는 알려진 제한 사항이며 오류가 아닙니다.,"Die Gewebestickstoffbelastung ist für Trimix-Tauchgänge noch nicht verfügbar — dies ist eine bekannte Einschränkung, kein Fehler.",L'saturation en azote tissulaire n'est pas encore disponible pour les plongées au trimix — il s'agit d'une limitation connue et non d'une erreur.,"La carga de nitrógeno en tejidos aún no está disponible para inmersiones con trimix — esta es una limitación conocida, no un error.","Il carico di azoto nei tessuti non è ancora disponibile per le immersioni trimix: si tratta di una limitazione nota, non di un errore.","Weefselstikstofbelasting is nog niet beschikbaar voor trimixduiken — dit is een bekende beperking, geen fout.","A carga de azoto nos tecidos ainda não está disponível para mergulhos com trimix — esta é uma limitação conhecida, não um erro.","Η φόρτιση αζώτου στους ιστούς δεν είναι ακόμη διαθέσιμη για καταδύσεις trimix — αυτός είναι ένας γνωστός περιορισμός, όχι σφάλμα.","Opterećenje tkiva dušikom još nije dostupno za trimix zarone — ovo je poznato ograničenje, a ne pogreška.","Beban nitrogen jaringan belum tersedia untuk penyelaman trimix — ini adalah batasan yang diketahui, bukan kesalahan.","Beban nitrogen tisu belum tersedia untuk selaman trimix — ini adalah had yang diketahui, bukan ralat.",ยังไม่รองรับการคำนวณการสะสมไนโตรเจนในเนื้อเยื่อสำหรับการดำน้ำแบบ Trimix — นี่เป็นข้อจำกัดที่รับทราบแล้ว ไม่ใช่ข้อผิดพลาด,"Tải lượng nitơ trong mô chưa hỗ trợ cho các lượt lặn trimix — đây là giới hạn đã biết, không phải lỗi."
Total Time,Stats header label｜出現於：DiveLogListView.swift,Total Time,Total Time,總時間,总时间,合計時間,총 시간,Gesamtzeit,Temps total,Tiempo total,Tempo totale,Totale tijd,Tempo total,Συνολικός χρόνος,Ukupno vrijeme,Total Waktu,Jumlah Masa,เวลาทั้งหมด,Tổng thời gian
Touch and drag the profile to inspect any moment of the dive.,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Touch and drag the profile to inspect any moment of the dive.,Touch and drag the profile to inspect any moment of the dive.,觸摸並拖曳剖面圖，可查看潛水過程中任一時刻的狀態。,触摸并拖曳剖面图，可查看潜水过程中任一时刻的状态。,プロファイルをタッチしてドラッグすると、潜水中の任意の瞬間を確認できます。,프로필을 터치하고 드래그하면 다이빙의 특정 순간을 확인할 수 있습니다.,"Berühre und ziehe über das Profil, um jeden Moment des Tauchgangs zu untersuchen.",Touchez et faites glisser le profil pour examiner n'importe quel instant de la plongée.,Toca y arrastra el perfil para inspeccionar cualquier momento de la inmersión.,Tocca e trascina il profilo per esaminare qualsiasi momento dell'immersione.,Raak het profiel aan en sleep om elk moment van de duik te bekijken.,Toque e arraste o perfil para inspecionar qualquer momento do mergulho.,Αγγίξτε και σύρετε το προφίλ για να εξετάσετε οποιαδήποτε στιγμή της κατάδυσης.,Dodirnite i povucite profil kako biste pregledali bilo koji trenutak ronjenja.,Sentuh dan geser profil untuk memeriksa momen mana pun dalam penyelaman.,Sentuh dan seret profil untuk memeriksa mana-mana detik semasa selaman.,แตะและลากโปรไฟล์เพื่อตรวจสอบช่วงเวลาใด ๆ ของการดำน้ำ,Chạm và kéo trên hồ sơ để xem bất kỳ thời điểm nào của lần lặn.
Trimix,"出現於：DiveLogEditSheet.swift, DiveReplayEngine.swift, F5DiveKitMigrationE2ETests.swift, GasMix+LocalizedDisplay.swift, 等共 6 個檔案（無額外註解，請對照原始碼判斷情境）",Trimix,Trimix,混合氣體,混合气体,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix
Try Again,Import failure retry button｜出現於：ImportWizardView.swift,Try Again,Try Again,重試,重试,もう一度お試しください,다시 시도,Erneut versuchen,Réessayer,Reintentar,Riprova,Probeer opnieuw,Tentar novamente,Δοκιμάστε ξανά,Pokušaj ponovno,Coba Lagi,Cuba Lagi,ลองอีกครั้ง,Thử lại
Units,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Units,Units,單位,单位,単位,단위,Einheiten,Unités,Unidades,Unità,Eenheden,Unidades,Μονάδες,Jedinice,Satuan,Unit,หน่วย,Đơn vị
Universal,出現於：ImportWizardView.swift（無額外註解，請對照原始碼判斷情境）,Universal,Universal,通用,通用,汎用,범용,Universal,Universel,Universal,Universale,Universeel,Universal,Γενικά,Univerzalno,Universal,Universal,ทั่วไป,Thông dụng
Unknown Location,"Fallback when dive has no location name｜出現於：DiveLogDetailView.swift, DiveMapRepresentable.swift, DiveRowView.swift, DiveSiteAnnotation.swift, 等共 5 個檔案",Unknown Location,Unknown Location,未知地點,未知地点,場所不明,알 수 없는 위치,Unbekannter Ort,Lieu inconnu,Ubicación desconocida,Posizione sconosciuta,Onbekende locatie,Localização desconhecida,Άγνωστη τοποθεσία,Nepoznata lokacija,Lokasi Tidak Diketahui,Lokasi Tidak Diketahui,ไม่ทราบสถานที่,Địa điểm không xác định
Unlock for %@,Purchase button label｜出現於：SettingsView.swift,Unlock for %@,Unlock for %@,以 %@ 解鎖,以 %@ 解锁,%@でロック解除,%@으로 잠금 해제,Freischalten für %@,Déverrouiller pour %@,Desbloquear por %@,Sblocca per %@,Ontgrendel voor %@,Desbloquear por %@,Ξεκλείδωμα για %@,Otključaj za %@,Buka kunci seharga %@,Buka kunci dengan %@,ปลดล็อกในราคา %@,Mở khóa với giá %@
Use the Import tab to add your dive computer logs.,"Empty logbook state description｜出現於：DiveLogListView.swift, MainTabView.swift",Use the Import tab to add your dive computer logs.,Use the Import tab to add your dive computer logs.,前往「匯入」標籤頁來新增潛水電腦日誌。,前往「导入」标签页添加潜水电脑日志。,「取り込み」タブからダイビングコンピューターのログを追加してください。,가져오기 탭을 사용하여 다이빙 컴퓨터 로그를 추가하세요.,"Verwenden Sie den Import-Tab, um Ihre Tauchcomputer-Logbücher hinzuzufügen.",Utilisez l'onglet Importer pour ajouter les carnets de votre ordinateur.,Usa la pestaña Importar para añadir los diarios de tu ordenador de buceo.,Usa la scheda Importa per aggiungere i registri del tuo computer subacqueo.,Gebruik het tabblad Importeer om de logboeken van je duikcomputer toe te voegen.,Utilize o separador Importar para adicionar os registos do seu computador de mergulho.,Χρησιμοποιήστε την καρτέλα Εισαγωγή για να προσθέσετε καταγραφές από το καταδυτικό σας κομπιούτερ.,Upotrijebite karticu Uvoz za dodavanje zapisa s ronilačkog računala.,Gunakan tab Impor untuk menambahkan logbook komputer selam Anda.,Gunakan tab Import untuk menambah log komputer selam anda.,ใช้แท็บนำเข้าเพื่อเพิ่มบันทึกจากคอมพิวเตอร์ดำน้ำของคุณ,Sử dụng tab Nhập để thêm nhật ký máy tính lặn của bạn.
Version,"Settings row label｜出現於：DiveLogBackup.swift, DiveLogDatabase.swift, DiveLogModelTests.swift, SettingsView.swift",Version,Version,版本,版本,バージョン,버전,Version,Version,Versión,Versione,Versie,Versão,Έκδοση,Verzija,Versi,Versi,เวอร์ชัน,Phiên bản
Version %@,Accessibility label｜出現於：SettingsView.swift,Version %@,Version %1$@,版本 %1$@,版本 %1$@,バージョン %1$@,버전 %1$@,Version %1$@,Version %1$@,Versión %1$@,Versione %1$@,Versie %1$@,Versão %1$@,Έκδοση %1$@,Verzija %1$@,Versi %1$@,Versi %1$@,เวอร์ชัน %1$@,Phiên bản %1$@
Visibility,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveSiteSheetView.swift, MainTabView.swift（無額外註解，請對照原始碼判斷情境）",Visibility,Visibility,能見度,能见度,能見度,가시거리,Sichtweite,Visibilité,Visibilidad,Visibilità,Zicht,Visibilidade,Ορατότητα,Vidljivost,Visibilitas,Visibilitas,ระดับความเห็น,Khả năng nhìn thấy
Visibility: %.1f metres,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Visibility: %.1f m,Visibility: %.1f m,能見度：%.1f m,能见度：%.1f m,透明度：%.1f m,시야: %.1f m,Sicht: %.1f m,Visibilité : %.1f m,Visibilidad: %.1f m,Visibilità: %.1f m,Zicht: %.1f m,Visibilidade: %.1f m,Ορατότητα: %.1f m,Vidljivost: %.1f m,Jarak pandang: %.1f m,Jarak penglihatan: %.1f m,ทัศนวิสัย: %.1f ม.,Tầm nhìn: %.1f m
Visibility: %@,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Visibility: %@,Visibility: %@,能見度：%@,能见度：%@,透明度：%@,시야: %@,Sicht: %@,Visibilité : %@,Visibilidad: %@,Visibilità: %@,Zicht: %@,Visibilidade: %@,Ορατότητα: %@,Vidljivost: %@,Visibilitas: %@,Keterlihatan: %@,ทัศนวิสัย: %@,Tầm nhìn: %@
Visibility: Not recorded,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Visibility: Not recorded,Visibility: Not recorded,能見度：未記錄,能见度：未记录,透明度：未記録,시야: 기록 없음,Sicht: Nicht erfasst,Visibilité : Non enregistré,Visibilidad: No registrado,Visibilità: Non registrato,Zicht: Niet geregistreerd,Visibilidade: Não registado,Ορατότητα: Δεν καταγράφηκε,Vidljivost: Nije zabilježeno,Jarak pandang: Tidak tercatat,Jarak penglihatan: Tidak direkodkan,ทัศนวิสัย: ไม่ได้บันทึก,Tầm nhìn: Không ghi nhận
Water Flow,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Water Flow,Water Flow,水流,水流,水流,수류,Wasserströmung,Courant d'eau,Corriente de agua,Corrente d'acqua,Waterstroom,Corrente de água,Ροή νερού,Vodena struja,Arus air,Arus air,กระแสน้ำ,Dòng nước
Water Temp,"Dive detail field label｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveSiteSheetView.swift",Water Temp,Water Temp,水溫,水温,水温,수온,Wassertemp.,Temp. eau,Temp. agua,Temp. acqua,Watertemp.,Temp. água,Θερμ. νερού,Temp. vode,Suhu Air,Suhu Air,อุณหภูมิน้ำ,Nhiệt độ nước
Water Temperature: %.1f degrees Celsius,Accessibility label,Water Temperature: %.1f °C,Water Temperature: %.1f °C,水溫：%.1f °C,水温：%.1f °C,水温：%.1f °C,수온: %.1f도,Wassertemperatur: %.1f °C,Température de l'eau : %.1f °C,Temperatura del agua: %.1f °C,Temperatura dell'acqua: %.1f °C,Watertemperatuur: %.1f °C,Temperatura da água: %.1f °C,Θερμοκρασία νερού: %.1f °C,Temperatura vode: %.1f Celzijevih stupnjeva,Suhu Air: %.1f °C,Suhu Air: %.1f °C,อุณหภูมิน้ำ: %.1f °C,Nhiệt độ nước: %.1f °C
Water Temperature: %@,Accessibility label｜出現於：DiveLogEditSheet.swift,Water Temperature: %@,Water Temperature: %@,水溫：%@,水温：%@,水温：%@,수온: %@,Wassertemperatur: %@,Température de l'eau : %@,Temperatura del agua: %@,Temperatura dell'acqua: %@,Watertemperatuur: %@,Temperatura da água: %@,Θερμοκρασία νερού: %@,Temperatura vode: %@,Suhu Air: %@,Suhu Air: %@,อุณหภูมิน้ำ: %@,Nhiệt độ nước: %@
Water Type,Picker label for water type｜出現於：DiveLogEditSheet.swift,Water Type,Water Type,水域類型,水域类型,水の種類,수질 유형,Wasserart,Type d'eau,Tipo de agua,Tipo di acqua,Watertype,Tipo de água,Τύπος νερού,Vrsta vode,Jenis Air,Jenis Air,ประเภทน้ำ,Loại nước
Weather,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Weather,Weather,天氣,天气,天気,날씨,Wetter,Météo,Clima,Tempo,Weer,Tempo,Καιρός,Vrijeme,Cuaca,Cuaca,สภาพอากาศ,Thời tiết
Weight,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Weight,Weight,配重,配重,ウェイト,무게,Gewicht,Poids,Peso,Peso,Gewicht,Peso,Βάρος,Težina,Berat,Berat,น้ำหนัก,Trọng lượng
Weight Total,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Weight Total,Weight Total,總配重,总配重,総ウエイト,총 웨이트,Gesamtblei,Lest total,Lastro total,Zavorra totale,Totaal lood,Lastro total,Συνολικό βάρος,Ukupno olovo,Total Pemberat,Total Pemberat,น้ำหนักตะกั่วรวม,Tổng chì
Weight: %.1f kilograms,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Weight: %.1f kilograms,Weight: %.1f kilograms,配重：%.1f 公斤,配重：%.1f 公斤,ウエイト：%.1f kg,웨이트: %.1f kg,Bleigewicht: %.1f kg,Lest : %.1f kg,Lastre: %.1f kg,Zavorra: %.1f kg,Lood: %.1f kg,Lastro: %.1f kg,Βάρος: %.1f κιλά,Olovo: %.1f kg,Pemberat: %.1f kg,Pemberat: %.1f kg,น้ำหนักตะกั่ว: %.1f กิโลกรัม,Trọng lượng chì: %.1f kg
Wetsuit,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Wetsuit,Wetsuit,防寒衣,濕衣,ウェットスーツ,잠수복,Neoprenanzug,Combinaison,Traje de neopreno,Muta,Duikpak,Fato de mergulho,Κοστούμι,Neopreni,Pakaian Menyelam,Pakaian Menyelam,ชุดดำน้ำ,Bộ đồ lặn
Wetsuit Thickness,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Wetsuit Thickness,Wetsuit Thickness,防寒衣厚度,潜水服厚度,ウェットスーツの厚さ,웨트슈트 두께,Neoprendicke,Épaisseur de la combinaison,Grosor del traje,Spessore della muta,Dikte van het pak,Espessura do fato,Πάχος κοστουμιού,Debljina neoprenske odjeće,Ketebalan wetsuit,Ketebalan wetsuit,ความหนาของชุดลำน้ำ,Độ dày của bộ đồ
Year,出現於：DiveCalendarView.swift（無額外註解，請對照原始碼判斷情境）,Year,Year,年,年,年,년,Jahr,Année,Año,Anno,Jaar,Ano,Έτος,Godina,Tahun,Tahun,ปี,Năm
Yes,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Yes,Yes,是,是,はい,예,Ja,Oui,Sí,Sì,Ja,Sim,Ναι,Da,Ya,Ya,ใช่,Có
bar,"出現於：DiveAnalysisView.swift, DiveLog.swift, DiveLogDetailView.swift, DiveLogEditSheet.swift, 等共 13 個檔案（無額外註解，請對照原始碼判斷情境）",,,,,,,,,,,,,,,,,,
iOS Settings,Settings row trailing label｜出現於：SettingsView.swift,iOS Settings,iOS Settings,iOS 設定,iOS 设置,iOSの設定,iOS 설정,iOS-Einstellungen,Réglages iOS,Ajustes de iOS,Impostazioni iOS,iOS-instellingen,Definições do iOS,Ρυθμίσεις iOS,iOS postavke,Pengaturan iOS,Tetapan iOS,การตั้งค่า iOS,Cài đặt iOS
kg,"出現於：AdBannerView.swift, Color+Platform.swift, DiveAnalysisView.swift, DiveCalendarView.swift, 等共 14 個檔案（無額外註解，請對照原始碼判斷情境）",,,,,,,,,,,,,,,,,,
m,"A unit of measurement for depth.｜出現於：AdBannerView.swift, AppLanguageManager.swift, Color+Platform.swift, DiveAnalysisView.swift, 等共 41 個檔案",m,m,m,m,m,m,m,m,m,m,m,m,μ.,m,m,m,ม.,m
min,"出現於：DiveAnalysisView.swift, DiveCalendarView.swift, DiveImportKitAdapter.swift, DiveLog.swift, 等共 22 個檔案（無額外註解，請對照原始碼判斷情境）",min,min,分鐘,分钟,分,분,min,min,min,min,min,min,min,min,min,min,นาที,phút
mm,"出現於：AppLanguageManager.swift, DiveCalendarView.swift, DiveLog.swift, DiveLogDetailView.swift, 等共 11 個檔案（無額外註解，請對照原始碼判斷情境）",,,,,,,,,,,,,,,,,,
°C,"A unit of temperature.｜出現於：DiveLog.swift, SettingsView.swift, UnitSystem.swift",°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
